,Postcode,Average price,Percentage of average London price,Postcode New,Postcode NEw
487,RM14 1,£576k,81%,RM14,RM14
488,RM14 2,£566k,79%,RM14,RM14
489,RM14 3,£638k,89%,RM14,RM14
490,RM2 5,£556k,78%,RM2,RM2
491,RM2 6,£472k,66%,RM2,RM2
492,RM3 0,£423k,59%,RM3,RM3
493,RM3 7,£363k,51%,RM3,RM3
494,RM3 8,£319k,45%,RM3,RM3
495,RM3 9,£386k,54%,RM3,RM3
496,RM5 2,£429k,60%,RM5,RM5
497,RM5 3,£411k,58%,RM5,RM5
498,RM6 4,£380k,53%,RM6,RM6
499,RM6 5,£390k,55%,RM6,RM6
500,RM6 6,£419k,59%,RM6,RM6
501,RM7 0,£391k,55%,RM7,RM7
502,RM7 7,£477k,67%,RM7,RM7
503,RM7 8,£414k,58%,RM7,RM7
504,RM7 9,£367k,51%,RM7,RM7
505,RM8 1,£353k,49%,RM8,RM8
506,RM8 2,£366k,51%,RM8,RM8
507,RM8 3,£333k,47%,RM8,RM8
508,RM9 4,£365k,51%,RM9,RM9
509,RM9 5,£357k,50%,RM9,RM9
510,RM9 6,£340k,48%,RM9,RM9
511,SE1 0,£612k,86%,SE1,SE1
512,SE1 1,£559k,78%,SE1,SE1
513,SE1 2,£933k,131%,SE1,SE1
514,SE1 3,£667k,93%,SE1,SE1
515,SE1 4,£672k,94%,SE1,SE1
516,SE1 5,£517k,72%,SE1,SE1
517,SE1 6,£507k,71%,SE1,SE1
518,SE1 7,£1.2M,168%,SE1,SE1
519,SE1 8,£795k,111%,SE1,SE1
520,SE1 9,£1.4M,197%,SE1,SE1
521,SE10 0,£672k,94%,SE10,SE10
522,SE10 8,£755k,106%,SE10,SE10
523,SE10 9,£596k,84%,SE10,SE10
524,SE11 4,£707k,99%,SE11,SE11
525,SE11 5,£503k,70%,SE11,SE11
526,SE11 6,£755k,106%,SE11,SE11
527,SE12 0,£482k,67%,SE12,SE12
528,SE12 8,£617k,87%,SE12,SE12
529,SE12 9,£446k,62%,SE12,SE12
530,SE13 5,£588k,82%,SE13,SE13
531,SE13 6,£479k,67%,SE13,SE13
532,SE13 7,£555k,78%,SE13,SE13
533,SE14 5,£566k,79%,SE14,SE14
534,SE14 6,£441k,62%,SE14,SE14
535,SE15 1,£440k,62%,SE15,SE15
536,SE15 2,£591k,83%,SE15,SE15
537,SE15 3,£615k,86%,SE15,SE15
538,SE15 4,£787k,110%,SE15,SE15
539,SE15 5,£743k,104%,SE15,SE15
540,SE15 6,£404k,57%,SE15,SE15
541,SE16 2,£377k,53%,SE16,SE16
542,SE16 3,£409k,57%,SE16,SE16
543,SE16 4,£564k,79%,SE16,SE16
544,SE16 5,£567k,79%,SE16,SE16
545,SE16 6,£564k,79%,SE16,SE16
546,SE16 7,£498k,70%,SE16,SE16
547,SE17 1,£569k,80%,SE17,SE17
548,SE17 2,£433k,61%,SE17,SE17
549,SE17 3,£587k,82%,SE17,SE17
550,SE18 1,£377k,53%,SE18,SE18
551,SE18 2,£402k,56%,SE18,SE18
552,SE18 3,£453k,63%,SE18,SE18
553,SE18 4,£348k,49%,SE18,SE18
554,SE18 5,£279k,39%,SE18,SE18
555,SE18 6,£412k,58%,SE18,SE18
556,SE18 7,£331k,46%,SE18,SE18
557,SE19 1,£514k,72%,SE19,SE19
558,SE19 2,£465k,65%,SE19,SE19
559,SE19 3,£437k,61%,SE19,SE19
560,SE2 0,£395k,55%,SE2,SE2
561,SE2 9,£369k,52%,SE2,SE2
562,SE20 7,£487k,68%,SE20,SE20
563,SE20 8,£372k,52%,SE20,SE20
564,SE21 7,£2.2M,308%,SE21,SE21
565,SE21 8,£920k,129%,SE21,SE21
566,SE22 0,£799k,112%,SE22,SE22
567,SE22 8,£741k,104%,SE22,SE22
568,SE22 9,£801k,112%,SE22,SE22
569,SE23 1,£604k,85%,SE23,SE23
570,SE23 2,£573k,80%,SE23,SE23
571,SE23 3,£635k,89%,SE23,SE23
572,SE24 0,£834k,117%,SE24,SE24
573,SE24 9,£1.0M,142%,SE24,SE24
574,SE25 4,£415k,58%,SE25,SE25
575,SE25 5,£373k,52%,SE25,SE25
576,SE25 6,£386k,54%,SE25,SE25
577,SE26 4,£530k,74%,SE26,SE26
578,SE26 5,£498k,70%,SE26,SE26
579,SE26 6,£504k,71%,SE26,SE26
580,SE27 0,£570k,80%,SE27,SE27
581,SE27 9,£614k,86%,SE27,SE27
582,SE28 0,£289k,41%,SE28,SE28
583,SE28 8,£292k,41%,SE28,SE28
584,SE3 0,£689k,97%,SE3,SE3
585,SE3 7,£747k,105%,SE3,SE3
586,SE3 8,£557k,78%,SE3,SE3
587,SE3 9,£696k,98%,SE3,SE3
588,SE4 1,£667k,93%,SE4,SE4
589,SE4 2,£582k,81%,SE4,SE4
590,SE5 0,£424k,59%,SE5,SE5
591,SE5 7,£518k,73%,SE5,SE5
592,SE5 8,£715k,100%,SE5,SE5
593,SE5 9,£606k,85%,SE5,SE5
594,SE6 1,£492k,69%,SE6,SE6
595,SE6 2,£499k,70%,SE6,SE6
596,SE6 3,£379k,53%,SE6,SE6
597,SE6 4,£442k,62%,SE6,SE6
598,SE7 7,£523k,73%,SE7,SE7
599,SE7 8,£496k,70%,SE7,SE7
600,SE8 3,£439k,61%,SE8,SE8
601,SE8 4,£394k,55%,SE8,SE8
602,SE8 5,£428k,60%,SE8,SE8
603,SE9 1,£553k,78%,SE9,SE9
604,SE9 2,£462k,65%,SE9,SE9
605,SE9 3,£517k,72%,SE9,SE9
606,SE9 4,£410k,57%,SE9,SE9
607,SE9 5,£428k,60%,SE9,SE9
608,SE9 6,£434k,61%,SE9,SE9
609,SM1 1,£425k,59%,SM1,SM1
610,SM1 2,£430k,60%,SM1,SM1
611,SM1 3,£500k,70%,SM1,SM1
612,SM1 4,£359k,50%,SM1,SM1
613,SM2 5,£481k,67%,SM2,SM2
614,SM2 6,£430k,60%,SM2,SM2
615,SM2 7,£1.1M,157%,SM2,SM2
616,SM3 8,£541k,76%,SM3,SM3
617,SM3 9,£488k,68%,SM3,SM3
618,SM4 4,£554k,78%,SM4,SM4
619,SM4 5,£405k,57%,SM4,SM4
620,SM4 6,£415k,58%,SM4,SM4
621,SM5 1,£392k,55%,SM5,SM5
622,SM5 2,£396k,55%,SM5,SM5
623,SM5 3,£616k,86%,SM5,SM5
624,SM5 4,£686k,96%,SM5,SM5
625,SM6 0,£411k,58%,SM6,SM6
626,SM6 7,£399k,56%,SM6,SM6
627,SM6 8,£454k,64%,SM6,SM6
628,SM6 9,£502k,70%,SM6,SM6
629,SW10 0,£1.3M,183%,SW10,SW10
630,SW10 9,£2.2M,306%,SW10,SW10
631,SW11 1,£862k,121%,SW11,SW11
632,SW11 2,£726k,102%,SW11,SW11
633,SW11 3,£762k,107%,SW11,SW11
634,SW11 4,£1.3M,179%,SW11,SW11
635,SW11 5,£858k,120%,SW11,SW11
636,SW11 6,£1.5M,209%,SW11,SW11
637,SW11 7,£910k,128%,SW11,SW11
638,SW11 8,£1.4M,193%,SW11,SW11
639,SW12 0,£818k,115%,SW12,SW12
640,SW12 8,£1.2M,162%,SW12,SW12
641,SW12 9,£785k,110%,SW12,SW12
642,SW13 0,£1.5M,210%,SW13,SW13
643,SW13 8,£1.5M,211%,SW13,SW13
644,SW13 9,£2.0M,284%,SW13,SW13
645,SW14 7,£1.1M,150%,SW14,SW14
646,SW14 8,£1.1M,149%,SW14,SW14
647,SW15 1,£1.2M,171%,SW15,SW15
648,SW15 2,£808k,113%,SW15,SW15
649,SW15 3,£750k,105%,SW15,SW15
650,SW15 4,£416k,58%,SW15,SW15
651,SW15 5,£903k,126%,SW15,SW15
652,SW15 6,£971k,136%,SW15,SW15
653,SW16 1,£620k,87%,SW16,SW16
654,SW16 2,£490k,69%,SW16,SW16
655,SW16 3,£667k,93%,SW16,SW16
656,SW16 4,£495k,69%,SW16,SW16
657,SW16 5,£518k,73%,SW16,SW16
658,SW16 6,£625k,87%,SW16,SW16
659,SW17 0,£611k,86%,SW17,SW17
660,SW17 6,£428k,60%,SW17,SW17
661,SW17 7,£804k,113%,SW17,SW17
662,SW17 8,£876k,123%,SW17,SW17
663,SW17 9,£616k,86%,SW17,SW17
664,SW18 1,£801k,112%,SW18,SW18
665,SW18 2,£887k,124%,SW18,SW18
666,SW18 3,£1.0M,140%,SW18,SW18
667,SW18 4,£666k,93%,SW18,SW18
668,SW18 5,£910k,128%,SW18,SW18
669,SW19 1,£697k,98%,SW19,SW19
670,SW19 2,£473k,66%,SW19,SW19
671,SW19 3,£936k,131%,SW19,SW19
672,SW19 4,£1.4M,190%,SW19,SW19
673,SW19 5,£2.1M,293%,SW19,SW19
674,SW19 6,£546k,76%,SW19,SW19
675,SW19 7,£1.6M,224%,SW19,SW19
676,SW19 8,£889k,125%,SW19,SW19
677,SW1A 1,£11.9M,1672%,SW1A,SW1A
678,SW1A 2,£1.6M,224%,SW1A,SW1A
679,SW1E 5,£2.3M,316%,SW1E,SW1E
680,SW1E 6,£1.7M,244%,SW1E,SW1E
681,SW1H 0,£1.5M,204%,SW1H,SW1H
682,SW1H 9,£5.0M,706%,SW1H,SW1H
683,SW1P 1,£1.0M,142%,SW1P,SW1P
684,SW1P 2,£1.0M,141%,SW1P,SW1P
685,SW1P 3,£1.6M,220%,SW1P,SW1P
686,SW1P 4,£1.0M,146%,SW1P,SW1P
687,SW1V 1,£1.5M,209%,SW1V,SW1V
688,SW1V 2,£919k,129%,SW1V,SW1V
689,SW1V 3,£1.1M,158%,SW1V,SW1V
690,SW1V 4,£1.2M,168%,SW1V,SW1V
691,SW1W 0,£2.5M,348%,SW1W,SW1W
692,SW1W 8,£3.4M,479%,SW1W,SW1W
693,SW1W 9,£4.9M,685%,SW1W,SW1W
694,SW1X 0,£2.9M,403%,SW1X,SW1X
695,SW1X 7,£8.3M,1167%,SW1X,SW1X
696,SW1X 8,£3.2M,454%,SW1X,SW1X
697,SW1X 9,£2.5M,347%,SW1X,SW1X
698,SW1Y 4,£743k,104%,SW1Y,SW1Y
699,SW1Y 5,£2.0M,286%,SW1Y,SW1Y
700,SW1Y 6,£934k,131%,SW1Y,SW1Y
701,SW2 1,£560k,78%,SW2,SW2
702,SW2 2,£630k,88%,SW2,SW2
703,SW2 3,£603k,84%,SW2,SW2
704,SW2 4,£598k,84%,SW2,SW2
705,SW2 5,£650k,91%,SW2,SW2
706,SW20 0,£1.1M,151%,SW20,SW20
707,SW20 8,£786k,110%,SW20,SW20
708,SW20 9,£699k,98%,SW20,SW20
709,SW3 1,£1.9M,270%,SW3,SW3
710,SW3 2,£3.2M,447%,SW3,SW3
711,SW3 3,£1.4M,196%,SW3,SW3
712,SW3 4,£3.3M,467%,SW3,SW3
713,SW3 5,£1.7M,244%,SW3,SW3
714,SW3 6,£4.0M,561%,SW3,SW3
715,SW4 0,£1.0M,143%,SW4,SW4
716,SW4 6,£714k,100%,SW4,SW4
717,SW4 7,£650k,91%,SW4,SW4
718,SW4 8,£749k,105%,SW4,SW4
719,SW4 9,£1.2M,170%,SW4,SW4
720,SW5 0,£1.9M,264%,SW5,SW5
721,SW5 9,£1.0M,147%,SW5,SW5
722,SW6 1,£1.3M,178%,SW6,SW6
723,SW6 2,£1.0M,142%,SW6,SW6
724,SW6 3,£2.0M,283%,SW6,SW6
725,SW6 4,£1.3M,177%,SW6,SW6
726,SW6 5,£1.2M,174%,SW6,SW6
727,SW6 6,£1.2M,164%,SW6,SW6
728,SW6 7,£967k,135%,SW6,SW6
729,SW7 1,£4.1M,572%,SW7,SW7
730,SW7 2,£4.7M,662%,SW7,SW7
731,SW7 3,£1.9M,264%,SW7,SW7
732,SW7 4,£1.9M,271%,SW7,SW7
733,SW7 5,£2.7M,380%,SW7,SW7
734,SW8 1,£641k,90%,SW8,SW8
735,SW8 2,£666k,93%,SW8,SW8
736,SW8 3,£677k,95%,SW8,SW8
737,SW8 4,£514k,72%,SW8,SW8
738,SW8 5,£812k,114%,SW8,SW8
739,SW9 0,£648k,91%,SW9,SW9
740,SW9 6,£542k,76%,SW9,SW9
741,SW9 7,£497k,70%,SW9,SW9
742,SW9 8,£545k,76%,SW9,SW9
743,SW9 9,£656k,92%,SW9,SW9
744,TN16 2,£901k,126%,TN16,TN16
745,TN16 3,£459k,64%,TN16,TN16
746,TW1 1,£946k,133%,TW1,TW1
747,TW1 2,£981k,137%,TW1,TW1
748,TW1 3,£938k,131%,TW1,TW1
749,TW1 4,£1.0M,143%,TW1,TW1
750,TW10 5,£1.2M,174%,TW10,TW10
751,TW10 6,£1.5M,205%,TW10,TW10
752,TW10 7,£717k,100%,TW10,TW10
753,TW11 0,£865k,121%,TW11,TW11
754,TW11 8,£819k,115%,TW11,TW11
755,TW11 9,£982k,138%,TW11,TW11
756,TW12 1,£713k,100%,TW12,TW12
757,TW12 2,£800k,112%,TW12,TW12
758,TW12 3,£690k,97%,TW12,TW12
759,TW13 4,£346k,48%,TW13,TW13
760,TW13 5,£421k,59%,TW13,TW13
761,TW13 6,£416k,58%,TW13,TW13
762,TW13 7,£428k,60%,TW13,TW13
763,TW14 0,£403k,56%,TW14,TW14
764,TW14 8,£354k,50%,TW14,TW14
765,TW14 9,£413k,58%,TW14,TW14
766,TW2 5,£666k,93%,TW2,TW2
767,TW2 6,£665k,93%,TW2,TW2
768,TW2 7,£617k,86%,TW2,TW2
769,TW3 1,£430k,60%,TW3,TW3
770,TW3 2,£495k,69%,TW3,TW3
771,TW3 3,£378k,53%,TW3,TW3
772,TW3 4,£472k,66%,TW3,TW3
773,TW4 5,£339k,48%,TW4,TW4
774,TW4 6,£450k,63%,TW4,TW4
775,TW4 7,£430k,60%,TW4,TW4
776,TW5 0,£477k,67%,TW5,TW5
777,TW5 9,£469k,66%,TW5,TW5
778,TW7 4,£575k,81%,TW7,TW7
779,TW7 5,£510k,71%,TW7,TW7
780,TW7 6,£469k,66%,TW7,TW7
781,TW7 7,£591k,83%,TW7,TW7
782,TW8 0,£468k,66%,TW8,TW8
783,TW8 8,£593k,83%,TW8,TW8
784,TW8 9,£535k,75%,TW8,TW8
785,TW9 1,£1.1M,161%,TW9,TW9
786,TW9 2,£1.1M,148%,TW9,TW9
787,TW9 3,£1.2M,170%,TW9,TW9
788,TW9 4,£817k,114%,TW9,TW9
789,UB1 1,£394k,55%,UB1,UB1
790,UB1 2,£442k,62%,UB1,UB1
791,UB1 3,£414k,58%,UB1,UB1
792,UB10 0,£485k,68%,UB10,UB10
793,UB10 8,£694k,97%,UB10,UB10
794,UB10 9,£558k,78%,UB10,UB10
795,UB2 4,£468k,66%,UB2,UB2
796,UB2 5,£426k,60%,UB2,UB2
797,UB3 1,£411k,58%,UB3,UB3
798,UB3 2,£416k,58%,UB3,UB3
799,UB3 3,£367k,51%,UB3,UB3
800,UB3 4,£411k,58%,UB3,UB3
801,UB3 5,£349k,49%,UB3,UB3
802,UB4 0,£442k,62%,UB4,UB4
803,UB4 8,£437k,61%,UB4,UB4
804,UB4 9,£382k,54%,UB4,UB4
805,UB5 4,£404k,57%,UB5,UB5
806,UB5 5,£388k,54%,UB5,UB5
807,UB5 6,£375k,53%,UB5,UB5
808,UB6 0,£515k,72%,UB6,UB6
809,UB6 7,£480k,67%,UB6,UB6
810,UB6 8,£467k,65%,UB6,UB6
811,UB6 9,£470k,66%,UB6,UB6
812,UB7 0,£391k,55%,UB7,UB7
813,UB7 7,£412k,58%,UB7,UB7
814,UB7 8,£403k,57%,UB7,UB7
815,UB7 9,£371k,52%,UB7,UB7
816,UB8 1,£485k,68%,UB8,UB8
817,UB8 2,£394k,55%,UB8,UB8
818,UB8 3,£449k,63%,UB8,UB8
819,UB9 6,£478k,67%,UB9,UB9
820,W10 4,£740k,104%,W10,W10
821,W10 5,£927k,130%,W10,W10
822,W10 6,£1.3M,176%,W10,W10
823,W11 1,£1.4M,196%,W11,W11
824,W11 2,£2.5M,354%,W11,W11
825,W11 3,£2.9M,407%,W11,W11
826,W11 4,£2.8M,386%,W11,W11
827,W12 0,£764k,107%,W12,W12
828,W12 7,£834k,117%,W12,W12
829,W12 8,£740k,104%,W12,W12
830,W12 9,£900k,126%,W12,W12
831,W13 0,£704k,99%,W13,W13
832,W13 8,£1.0M,143%,W13,W13
833,W13 9,£756k,106%,W13,W13
834,W14 0,£961k,135%,W14,W14
835,W14 8,£2.2M,307%,W14,W14
836,W14 9,£655k,92%,W14,W14
837,W1B 1,£1.4M,203%,W1B,W1B
838,W1D 3,£1.7M,244%,W1D,W1D
839,W1D 4,£2.5M,357%,W1D,W1D
840,W1D 6,£4.6M,639%,W1D,W1D
841,W1D 7,£560k,78%,W1D,W1D
842,W1F 0,£1.7M,239%,W1F,W1F
843,W1F 7,£899k,126%,W1F,W1F
844,W1F 8,£6.1M,855%,W1F,W1F
845,W1F 9,£2.6M,361%,W1F,W1F
846,W1G 0,£2.6M,359%,W1G,W1G
847,W1G 6,£1.3M,187%,W1G,W1G
848,W1G 7,£2.0M,280%,W1G,W1G
849,W1G 8,£1.8M,246%,W1G,W1G
850,W1G 9,£3.0M,426%,W1G,W1G
851,W1H 1,£1.5M,216%,W1H,W1H
852,W1H 2,£2.0M,283%,W1H,W1H
853,W1H 4,£1.1M,159%,W1H,W1H
854,W1H 5,£911k,128%,W1H,W1H
855,W1H 6,£3.0M,414%,W1H,W1H
856,W1H 7,£1.5M,204%,W1H,W1H
857,W1J 5,£2.6M,358%,W1J,W1J
858,W1J 7,£1.4M,191%,W1J,W1J
859,W1J 8,£4.4M,619%,W1J,W1J
860,W1K 1,£19.3M,2700%,W1K,W1K
861,W1K 2,£3.3M,464%,W1K,W1K
862,W1K 3,£10.3M,1449%,W1K,W1K
863,W1K 4,£18.5M,2591%,W1K,W1K
864,W1K 5,£1.1M,154%,W1K,W1K
865,W1K 6,£11.8M,1654%,W1K,W1K
866,W1K 7,£4.3M,603%,W1K,W1K
867,W1S 1,£3.9M,546%,W1S,W1S
868,W1S 2,£1.1M,154%,W1S,W1S
869,W1S 3,£8.1M,1140%,W1S,W1S
870,W1T 1,£923k,129%,W1T,W1T
871,W1T 2,£1.9M,272%,W1T,W1T
872,W1T 3,£2.3M,321%,W1T,W1T
873,W1T 4,£958k,134%,W1T,W1T
874,W1T 5,£588k,82%,W1T,W1T
875,W1T 6,£2.0M,276%,W1T,W1T
876,W1U 1,£1.1M,155%,W1U,W1U
877,W1U 2,£2.0M,287%,W1U,W1U
878,W1U 3,£2.3M,326%,W1U,W1U
879,W1U 4,£3.3M,458%,W1U,W1U
880,W1U 5,£2.8M,396%,W1U,W1U
881,W1U 6,£1.2M,173%,W1U,W1U
882,W1U 7,£1.0M,143%,W1U,W1U
883,W1U 8,£2.0M,284%,W1U,W1U
884,W1W 5,£953k,133%,W1W,W1W
885,W1W 6,£769k,108%,W1W,W1W
886,W1W 7,£2.2M,310%,W1W,W1W
887,W1W 8,£1.7M,238%,W1W,W1W
888,W2 1,£1.1M,154%,W2,W2
889,W2 2,£2.4M,342%,W2,W2
890,W2 3,£1.7M,236%,W2,W2
891,W2 4,£1.5M,204%,W2,W2
892,W2 5,£1.3M,179%,W2,W2
893,W2 6,£780k,109%,W2,W2
894,W3 0,£696k,98%,W3,W3
895,W3 6,£727k,102%,W3,W3
896,W3 7,£526k,74%,W3,W3
897,W3 8,£575k,81%,W3,W3
898,W3 9,£829k,116%,W3,W3
899,W4 1,£1.3M,188%,W4,W4
900,W4 2,£1.2M,163%,W4,W4
901,W4 3,£1.1M,147%,W4,W4
902,W4 4,£1.2M,172%,W4,W4
903,W4 5,£905k,127%,W4,W4
904,W5 1,£723k,101%,W5,W5
905,W5 2,£980k,137%,W5,W5
906,W5 3,£784k,110%,W5,W5
907,W5 4,£715k,100%,W5,W5
908,W5 5,£865k,121%,W5,W5
909,W6 0,£933k,131%,W6,W6
910,W6 7,£882k,124%,W6,W6
911,W6 8,£867k,121%,W6,W6
912,W6 9,£861k,121%,W6,W6
913,W7 1,£538k,75%,W7,W7
914,W7 2,£688k,96%,W7,W7
915,W7 3,£597k,84%,W7,W7
916,W8 4,£2.3M,327%,W8,W8
917,W8 5,£3.7M,525%,W8,W8
918,W8 6,£2.8M,392%,W8,W8
919,W8 7,£4.1M,573%,W8,W8
920,W9 1,£1.2M,165%,W9,W9
921,W9 2,£886k,124%,W9,W9
922,W9 3,£560k,78%,W9,W9
923,WC1A 1,£548k,77%,WC1A,WC1A
924,WC1A 2,£958k,134%,WC1A,WC1A
925,WC1B 3,£2.2M,313%,WC1B,WC1B
926,WC1B 4,£430k,60%,WC1B,WC1B
927,WC1B 5,£1.3M,185%,WC1B,WC1B
928,WC1E 6,£848k,119%,WC1E,WC1E
929,WC1E 7,£997k,140%,WC1E,WC1E
930,WC1H 0,£268k,38%,WC1H,WC1H
931,WC1H 8,£546k,77%,WC1H,WC1H
932,WC1H 9,£566k,79%,WC1H,WC1H
933,WC1N 1,£635k,89%,WC1N,WC1N
934,WC1N 2,£1.5M,214%,WC1N,WC1N
935,WC1N 3,£799k,112%,WC1N,WC1N
936,WC1R 4,£713k,100%,WC1R,WC1R
937,WC1V 6,£915k,128%,WC1V,WC1V
938,WC1X 0,£955k,134%,WC1X,WC1X
939,WC1X 8,£716k,100%,WC1X,WC1X
940,WC1X 9,£1.2M,170%,WC1X,WC1X
941,WC2A 2,£3.6M,506%,WC2A,WC2A
942,WC2A 3,£8.0M,1121%,WC2A,WC2A
943,WC2B 4,£1.2M,166%,WC2B,WC2B
944,WC2B 5,£842k,118%,WC2B,WC2B
945,WC2B 6,£2.3M,325%,WC2B,WC2B
946,WC2E 7,£1.1M,157%,WC2E,WC2E
947,WC2E 8,£5.3M,748%,WC2E,WC2E
948,WC2E 9,£1.1M,147%,WC2E,WC2E
949,WC2H 8,£1.0M,147%,WC2H,WC2H
950,WC2H 9,£1.1M,149%,WC2H,WC2H
951,WC2N 5,£1.1M,157%,WC2N,WC2N
952,WC2N 6,£1.2M,167%,WC2N,WC2N
953,WC2R 0,£660k,92%,WC2R,WC2R
954,WC2R 1,£1.5M,212%,WC2R,WC2R
