,Postcode,Average price,Percentage of average London price
0,BR1 1,£376k,53%
1,BR1 2,£838k,117%
2,BR1 3,£510k,71%
3,BR1 4,£478k,67%
4,BR1 5,£433k,61%
5,BR2 0,£496k,69%
6,BR2 6,£901k,126%
7,BR2 7,£698k,98%
8,BR2 8,£567k,79%
9,BR2 9,£511k,72%
10,BR3 1,£561k,79%
11,BR3 3,£675k,95%
12,BR3 4,£504k,71%
13,BR3 5,£488k,68%
14,BR3 6,£766k,107%
15,BR4 0,£648k,91%
16,BR4 9,£652k,91%
17,BR5 1,£731k,102%
18,BR5 2,£422k,59%
19,BR5 3,£364k,51%
20,BR5 4,£421k,59%
21,BR6 0,£578k,81%
22,BR6 6,£610k,85%
23,BR6 7,£548k,77%
24,BR6 8,£1.1M,161%
25,BR6 9,£592k,83%
26,BR7 5,£839k,118%
27,BR7 6,£702k,98%
28,CR0 0,£387k,54%
29,CR0 1,£350k,49%
30,CR0 2,£313k,44%
31,CR0 3,£357k,50%
32,CR0 4,£387k,54%
33,CR0 5,£519k,73%
34,CR0 6,£375k,53%
35,CR0 7,£510k,71%
36,CR0 8,£515k,72%
37,CR0 9,£310k,43%
38,CR2 0,£622k,87%
39,CR2 6,£372k,52%
40,CR2 7,£425k,60%
41,CR2 8,£509k,71%
42,CR2 9,£602k,84%
43,CR4 1,£407k,57%
44,CR4 2,£462k,65%
45,CR4 3,£382k,53%
46,CR4 4,£371k,52%
47,CR5 1,£552k,77%
48,CR5 2,£549k,77%
49,CR7 6,£398k,56%
50,CR7 7,£379k,53%
51,CR7 8,£382k,53%
52,CR8 1,£641k,90%
53,CR8 2,£513k,72%
54,CR8 3,£891k,125%
55,CR8 4,£542k,76%
56,CR8 5,£620k,87%
57,DA1 4,£316k,44%
58,DA14 4,£473k,66%
59,DA14 5,£417k,58%
60,DA14 6,£356k,50%
61,DA15 7,£461k,65%
62,DA15 8,£472k,66%
63,DA15 9,£499k,70%
64,DA16 1,£433k,61%
65,DA16 2,£474k,66%
66,DA16 3,£382k,54%
67,DA17 5,£344k,48%
68,DA17 6,£341k,48%
69,DA18 4,£264k,37%
70,DA5 1,£522k,73%
71,DA5 2,£530k,74%
72,DA5 3,£551k,77%
73,DA6 7,£398k,56%
74,DA6 8,£464k,65%
75,DA7 4,£466k,65%
76,DA7 5,£500k,70%
77,DA7 6,£427k,60%
78,DA8 1,£354k,50%
79,DA8 2,£339k,47%
80,DA8 3,£363k,51%
81,E1 0,£510k,71%
82,E1 1,£603k,84%
83,E1 2,£573k,80%
84,E1 3,£453k,63%
85,E1 4,£485k,68%
86,E1 5,£508k,71%
87,E1 6,£875k,123%
88,E1 7,£596k,83%
89,E1 8,£540k,76%
90,E10 5,£505k,71%
91,E10 6,£514k,72%
92,E10 7,£458k,64%
93,E11 1,£514k,72%
94,E11 2,£757k,106%
95,E11 3,£603k,84%
96,E11 4,£559k,78%
97,E12 5,£556k,78%
98,E12 6,£401k,56%
99,E13 0,£388k,54%
100,E13 8,£362k,51%
101,E13 9,£415k,58%
102,E14 0,£551k,77%
103,E14 2,£402k,56%
104,E14 3,£525k,74%
105,E14 4,£793k,111%
106,E14 5,£615k,86%
107,E14 6,£395k,55%
108,E14 7,£438k,61%
109,E14 8,£604k,85%
110,E14 9,£761k,107%
111,E15 1,£553k,78%
112,E15 2,£436k,61%
113,E15 3,£444k,62%
114,E15 4,£478k,67%
115,E16 1,£398k,56%
116,E16 2,£482k,67%
117,E16 3,£375k,53%
118,E16 4,£372k,52%
119,E17 3,£491k,69%
120,E17 4,£569k,80%
121,E17 5,£523k,73%
122,E17 6,£538k,75%
123,E17 7,£508k,71%
124,E17 8,£540k,76%
125,E17 9,£600k,84%
126,E18 1,£582k,82%
127,E18 2,£586k,82%
128,E1W 1,£899k,126%
129,E1W 2,£1.0M,147%
130,E1W 3,£606k,85%
131,E2 0,£540k,76%
132,E2 6,£615k,86%
133,E2 7,£694k,97%
134,E2 8,£672k,94%
135,E2 9,£574k,80%
136,E20 1,£714k,100%
137,E3 2,£478k,67%
138,E3 3,£353k,49%
139,E3 4,£447k,63%
140,E3 5,£628k,88%
141,E4 6,£528k,74%
142,E4 7,£585k,82%
143,E4 8,£420k,59%
144,E4 9,£528k,74%
145,E5 0,£842k,118%
146,E5 8,£603k,84%
147,E5 9,£492k,69%
148,E6 1,£356k,50%
149,E6 2,£382k,54%
150,E6 3,£412k,58%
151,E6 5,£349k,49%
152,E6 6,£355k,50%
153,E6 7,£600k,84%
154,E7 0,£601k,84%
155,E7 8,£454k,64%
156,E7 9,£492k,69%
157,E8 1,£690k,97%
158,E8 2,£622k,87%
159,E8 3,£1.0M,143%
160,E8 4,£719k,101%
161,E9 5,£522k,73%
162,E9 6,£525k,74%
163,E9 7,£830k,116%
164,EC1A 7,£1.1M,160%
165,EC1A 9,£671k,94%
166,EC1M 3,£615k,86%
167,EC1M 4,£629k,88%
168,EC1M 5,£1.4M,201%
169,EC1M 6,£420k,59%
170,EC1M 7,£540k,76%
171,EC1N 7,£494k,69%
172,EC1N 8,£1.4M,196%
173,EC1R 0,£888k,124%
174,EC1R 1,£1.1M,148%
175,EC1R 3,£1.2M,164%
176,EC1R 4,£768k,108%
177,EC1R 5,£370k,52%
178,EC1V 0,£904k,127%
179,EC1V 1,£949k,133%
180,EC1V 2,£739k,104%
181,EC1V 3,£749k,105%
182,EC1V 4,£1.0M,144%
183,EC1V 7,£743k,104%
184,EC1V 8,£963k,135%
185,EC1V 9,£629k,88%
186,EC1Y 0,£968k,136%
187,EC1Y 2,£1.0M,145%
188,EC1Y 8,£734k,103%
189,EC2A 2,£1.4M,193%
190,EC2A 3,£896k,125%
191,EC2A 4,£810k,114%
192,EC2M 4,£1.2M,172%
193,EC2Y 5,£807k,113%
194,EC2Y 8,£859k,120%
195,EC2Y 9,£740k,104%
196,EC3M 1,£1.2M,172%
197,EC3N 2,£603k,85%
198,EC3R 6,£2.8M,398%
199,EC4A 1,£876k,123%
200,EC4A 3,£500k,70%
201,EC4A 4,£37.5M,5254%
202,EC4M 7,£724k,101%
203,EC4R 0,£775k,109%
204,EC4V 3,£815k,114%
205,EC4Y 0,£796k,112%
206,EN1 1,£447k,63%
207,EN1 2,£589k,82%
208,EN1 3,£504k,71%
209,EN1 4,£344k,48%
210,EN2 0,£449k,63%
211,EN2 6,£532k,74%
212,EN2 7,£541k,76%
213,EN2 8,£502k,70%
214,EN2 9,£606k,85%
215,EN3 4,£347k,49%
216,EN3 5,£387k,54%
217,EN3 6,£361k,51%
218,EN3 7,£369k,52%
219,EN4 0,£1.7M,240%
220,EN4 8,£542k,76%
221,EN4 9,£609k,85%
222,EN5 1,£648k,91%
223,EN5 2,£594k,83%
224,EN5 3,£1.0M,147%
225,EN5 5,£654k,92%
226,HA0 1,£397k,56%
227,HA0 2,£443k,62%
228,HA0 3,£498k,70%
229,HA0 4,£555k,78%
230,HA1 1,£477k,67%
231,HA1 2,£415k,58%
232,HA1 3,£628k,88%
233,HA1 4,£520k,73%
234,HA2 0,£443k,62%
235,HA2 6,£580k,81%
236,HA2 7,£584k,82%
237,HA2 8,£414k,58%
238,HA2 9,£488k,68%
239,HA3 0,£725k,102%
240,HA3 5,£444k,62%
241,HA3 6,£607k,85%
242,HA3 7,£491k,69%
243,HA3 8,£627k,88%
244,HA3 9,£486k,68%
245,HA4 0,£527k,74%
246,HA4 6,£492k,69%
247,HA4 7,£608k,85%
248,HA4 8,£606k,85%
249,HA4 9,£531k,74%
250,HA5 1,£749k,105%
251,HA5 2,£618k,87%
252,HA5 3,£869k,122%
253,HA5 4,£745k,104%
254,HA5 5,£730k,102%
255,HA6 1,£637k,89%
256,HA6 2,£1.1M,155%
257,HA7 1,£492k,69%
258,HA7 2,£652k,91%
259,HA7 3,£897k,126%
260,HA7 4,£758k,106%
261,HA8 0,£412k,58%
262,HA8 5,£483k,68%
263,HA8 6,£542k,76%
264,HA8 7,£562k,79%
265,HA8 8,£613k,86%
266,HA8 9,£632k,89%
267,HA9 0,£373k,52%
268,HA9 6,£495k,69%
269,HA9 7,£494k,69%
270,HA9 8,£470k,66%
271,HA9 9,£581k,81%
272,IG1 1,£418k,59%
273,IG1 2,£384k,54%
274,IG1 3,£494k,69%
275,IG1 4,£408k,57%
276,IG11 0,£305k,43%
277,IG11 7,£319k,45%
278,IG11 8,£242k,34%
279,IG11 9,£413k,58%
280,IG2 6,£505k,71%
281,IG2 7,£449k,63%
282,IG3 8,£433k,61%
283,IG3 9,£509k,71%
284,IG4 5,£516k,72%
285,IG5 0,£508k,71%
286,IG6 1,£515k,72%
287,IG6 2,£466k,65%
288,IG6 3,£420k,59%
289,IG7 4,£391k,55%
290,IG8 0,£851k,119%
291,IG8 7,£507k,71%
292,IG8 8,£487k,68%
293,IG8 9,£649k,91%
294,IG9 6,£564k,79%
295,KT1 1,£520k,73%
296,KT1 2,£607k,85%
297,KT1 3,£615k,86%
298,KT1 4,£648k,91%
299,KT2 5,£817k,115%
300,KT2 6,£742k,104%
301,KT2 7,£1.2M,175%
302,KT3 3,£712k,100%
303,KT3 4,£879k,123%
304,KT3 5,£671k,94%
305,KT3 6,£668k,94%
306,KT4 8,£548k,77%
307,KT5 8,£568k,80%
308,KT5 9,£608k,85%
309,KT6 4,£537k,75%
310,KT6 6,£614k,86%
311,KT6 7,£543k,76%
312,KT8 9,£1.1M,155%
313,KT9 1,£461k,65%
314,KT9 2,£453k,63%
315,N1 0,£1.0M,146%
316,N1 1,£1.2M,164%
317,N1 2,£991k,139%
318,N1 3,£745k,104%
319,N1 4,£827k,116%
320,N1 5,£622k,87%
321,N1 6,£539k,75%
322,N1 7,£846k,118%
323,N1 8,£1.1M,156%
324,N1 9,£731k,102%
325,N10 1,£735k,103%
326,N10 2,£941k,132%
327,N10 3,£1.2M,169%
328,N11 1,£470k,66%
329,N11 2,£670k,94%
330,N11 3,£575k,81%
331,N12 0,£558k,78%
332,N12 7,£942k,132%
333,N12 8,£551k,77%
334,N12 9,£565k,79%
335,N13 4,£688k,96%
336,N13 5,£543k,76%
337,N13 6,£452k,63%
338,N14 4,£559k,78%
339,N14 5,£656k,92%
340,N14 6,£712k,100%
341,N14 7,£846k,119%
342,N15 3,£583k,82%
343,N15 4,£558k,78%
344,N15 5,£511k,72%
345,N15 6,£680k,95%
346,N16 0,£997k,140%
347,N16 5,£685k,96%
348,N16 6,£699k,98%
349,N16 7,£769k,108%
350,N16 8,£782k,110%
351,N16 9,£921k,129%
352,N17 0,£375k,52%
353,N17 6,£571k,80%
354,N17 7,£446k,62%
355,N17 8,£380k,53%
356,N17 9,£425k,60%
357,N18 1,£407k,57%
358,N18 2,£361k,51%
359,N19 3,£768k,108%
360,N19 4,£686k,96%
361,N19 5,£670k,94%
362,N1C 4,£1.4M,192%
363,N2 0,£2.4M,338%
364,N2 8,£508k,71%
365,N2 9,£1.0M,145%
366,N20 0,£621k,87%
367,N20 8,£1.7M,236%
368,N20 9,£941k,132%
369,N21 1,£731k,102%
370,N21 2,£773k,108%
371,N21 3,£806k,113%
372,N22 5,£522k,73%
373,N22 6,£539k,76%
374,N22 7,£812k,114%
375,N22 8,£522k,73%
376,N3 1,£813k,114%
377,N3 2,£725k,102%
378,N3 3,£1.0M,143%
379,N4 1,£660k,92%
380,N4 2,£560k,78%
381,N4 3,£710k,99%
382,N4 4,£706k,99%
383,N5 1,£1.1M,156%
384,N5 2,£847k,119%
385,N6 4,£1.5M,213%
386,N6 5,£1.3M,179%
387,N6 6,£2.3M,321%
388,N7 0,£702k,98%
389,N7 6,£617k,86%
390,N7 7,£547k,77%
391,N7 8,£845k,118%
392,N7 9,£678k,95%
393,N8 0,£711k,100%
394,N8 7,£642k,90%
395,N8 8,£1.1M,151%
396,N8 9,£804k,113%
397,N9 0,£350k,49%
398,N9 7,£371k,52%
399,N9 8,£359k,50%
400,N9 9,£356k,50%
401,NW1 0,£586k,82%
402,NW1 1,£681k,95%
403,NW1 2,£893k,125%
404,NW1 3,£601k,84%
405,NW1 4,£3.4M,472%
406,NW1 5,£1.1M,148%
407,NW1 6,£940k,132%
408,NW1 7,£1.5M,214%
409,NW1 8,£1.8M,253%
410,NW1 9,£888k,124%
411,NW10 0,£399k,56%
412,NW10 1,£777k,109%
413,NW10 2,£621k,87%
414,NW10 3,£1.2M,169%
415,NW10 4,£581k,81%
416,NW10 5,£920k,129%
417,NW10 6,£657k,92%
418,NW10 7,£482k,68%
419,NW10 8,£420k,59%
420,NW10 9,£473k,66%
421,NW11 0,£1.1M,151%
422,NW11 6,£1.4M,196%
423,NW11 7,£1.4M,198%
424,NW11 8,£1.2M,168%
425,NW11 9,£1.0M,140%
426,NW2 1,£599k,84%
427,NW2 2,£967k,135%
428,NW2 3,£702k,98%
429,NW2 4,£949k,133%
430,NW2 5,£668k,94%
431,NW2 6,£701k,98%
432,NW2 7,£562k,79%
433,NW3 1,£2.4M,337%
434,NW3 2,£1.3M,179%
435,NW3 3,£1.6M,222%
436,NW3 4,£1.2M,164%
437,NW3 5,£1.5M,206%
438,NW3 6,£1.8M,246%
439,NW3 7,£2.9M,406%
440,NW4 1,£792k,111%
441,NW4 2,£838k,117%
442,NW4 3,£623k,87%
443,NW4 4,£608k,85%
444,NW5 1,£1.0M,144%
445,NW5 2,£863k,121%
446,NW5 3,£940k,132%
447,NW5 4,£681k,95%
448,NW6 1,£921k,129%
449,NW6 2,£678k,95%
450,NW6 3,£1.0M,145%
451,NW6 4,£754k,106%
452,NW6 5,£489k,69%
453,NW6 6,£1.2M,162%
454,NW6 7,£919k,129%
455,NW7 1,£649k,91%
456,NW7 2,£697k,98%
457,NW7 3,£706k,99%
458,NW7 4,£1.3M,184%
459,NW8 0,£1.7M,242%
460,NW8 6,£2.2M,314%
461,NW8 7,£1.8M,256%
462,NW8 8,£837k,117%
463,NW8 9,£1.8M,254%
464,NW9 0,£492k,69%
465,NW9 4,£506k,71%
466,NW9 5,£374k,52%
467,NW9 6,£455k,64%
468,NW9 7,£444k,62%
469,NW9 8,£612k,86%
470,NW9 9,£493k,69%
471,RM1 1,£226k,32%
472,RM1 2,£346k,48%
473,RM1 3,£299k,42%
474,RM1 4,£491k,69%
475,RM10 7,£371k,52%
476,RM10 8,£332k,47%
477,RM10 9,£345k,48%
478,RM11 1,£450k,63%
479,RM11 2,£699k,98%
480,RM11 3,£540k,76%
481,RM12 4,£440k,62%
482,RM12 5,£433k,61%
483,RM12 6,£441k,62%
484,RM13 7,£393k,55%
